Year,Debt
2024,35464673929171.69
2023,33167334044723.16
2022,30928911613306.73
2021,28428918570048.68
2020,26945391194615.15
2019,22719401753433.78
2018,21516058183180.23
2017,20244900016053.51
2016,19573444713936.79
2015,18150617666484.33
2014,17824071380733.82
2013,16738183526697.32
2012,16066241407385.89
2011,14790340328557.15
2010,13561623030891.79
2009,11909829003511.75
2008,10024724896912.49
2007,9007653372262.48
2006,8506973899215.23
2005,7932709661723.5
2004,7379052696330.32
2003,6783231062743.62
2002,6228235965597.16
2001,5807463412200.06
2000,5674178209886.86
1999,5656270901615.43
1998,5526193008897.62
1997,5413146011397.34
1996,5224810939135.73
1995,4973982900709.39
1994,4692749910013.32
1993,4411488883139.38
1992,4064620655521.66
1991,3665303351697.03
1990,3233313451777.25
1989,2857430960187.32
1988,2602337712041.16
1987,2350276890953.0
1986,2125302616658.42
1985,1823103000000.0
1984,1572266000000.0
1983,1377210000000.0
1982,1142034000000.0
1981,997855000000.0
1980,907701000000.0
1979,826519000000.0
1978,771544000000.0
1977,698840000000.0
1976,620433000000.0
1975,533189000000.0
1974,475059815731.55
1973,458141605312.09
1972,427260460940.5
1971,398129744455.54
1970,370918706949.93
1969,353720253841.41
1968,347578406425.88
1967,326220937794.54
1966,319907087795.48
1965,317273898983.64
1964,311712899257.3
1963,305859632996.41
1962,298200822720.87
1961,288970938610.05
1960,286330760848.37
1959,284705907078.22
1958,276343217745.81
1957,270527171896.43
1956,272750813649.32
1955,274374222802.62
1954,271259599108.46
1953,266071061638.57
1952,259105178785.43
1951,255221976814.93
1950,257357352351.04
1949,252770359860.33
1948,252292246512.99
1947,258286383108.67
1946,269422099173.26
1945,258682187409.93
1944,201003387221.13
1943,136696090329.9
1942,72422445116.22
1941,48961443535.71
1940,42967531037.68
1939,40439532411.11
1938,37164740315.45
1937,36424613732.29
1936,33778543493.73
1935,28700892624.53
1934,27053141414.48
1933,22538672560.15
1932,19487002444.13
1931,16801281491.71
1930,16185309831.43
1929,16931088484.1
1928,17604293201.43
1927,18511906931.85
1926,19643216315.19
1925,20516193887.9
1924,21250812989.49
1923,22349707365.36
1922,22963381708.31
1921,23977450552.54
1920,25952456406.16
1919,27390970113.12
1918,14592161414.0
1917,5717770279.52
1916,3609244262.16
1915,3058136873.16
1914,2912499269.16
1913,2916204913.66
1912,2868373874.16
1911,2765600606.69
1910,2652665838.04
1909,2639546241.04
1908,2626806271.54
1907,2457188061.54
1906,2337161839.04
1905,2274615063.84
1904,2264003585.14
1903,2202464781.89
1902,2158610445.89
1901,2143326933.89
